Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Jun 16 2017,2457921,249.12,1.9e-07,2.8e-08
Jun 23 2017,2457928,453.41,3.53e-07,4.1e-08
Jun 30 2017,2457935,170.49,1.64e-07,2.8e-08
Jul 07 2017,2457943,81.75,1.59e-07,3.9e-08
Jul 14 2017,2457950,102.0,1.86e-07,4e-08
Jul 21 2017,2457957,94.37,1.7e-07,3.7e-08
Jul 28 2017,2457964,122.67,1.74e-07,3.4e-08
Aug 04 2017,2457970,242.92,2.12e-07,3.1e-08
Aug 11 2017,2457977,194.41,1.71e-07,2.7e-08
Aug 18 2017,2457984,267.04,2.31e-07,3.2e-08
Aug 25 2017,2457991,248.97,2.16e-07,3.3e-08
Sep 01 2017,2457998,151.25,2.21e-07,3.8e-08
Sep 08 2017,2458005,105.18,1.47e-07,3.4e-08
Sep 15 2017,2458012,66.41,1.46e-07,3.3e-08
Sep 22 2017,2458019,79.65,1.34e-07,2.8e-08
Sep 29 2017,2458026,175.73,1.41e-07,2.4e-08
Oct 06 2017,2458033,130.47,1.24e-07,2.3e-08
Oct 13 2017,2458040,95.16,1.25e-07,2.76e-08
Oct 20 2017,2458047,49.25,8.28e-08,2.2e-08
Oct 27 2017,2458054,106.45,1.46e-07,3e-08
Nov 03 2017,2458061,58.19,1.25e-07,3.42e-08
Nov 10 2017,2458068,44.66,6.42e-08,2.26e-08
Nov 17 2017,2458075,82.88,8.47e-08,2.04e-08
Nov 24 2017,2458082,83.6,8.38e-08,1.84e-08
Dec 01 2017,2458089,108.92,1.15e-07,2.18e-08
Dec 08 2017,2458096,49.61,7.82e-08,2.14e-08
Dec 15 2017,2458103,13.72,5.52e-08,2.61e-08
Dec 22 2017,2458110,28.09,6.63e-08,2.75e-08
Dec 29 2017,2458117,14.73,5.24e-08,2.34e-08
Jan 05 2018,2458123,15.11,4.26e-08,1.95e-08
Jan 12 2018,2458130,48.33,6.62e-08,1.85e-08
Jan 19 2018,2458137,41.66,5.49e-08,1.72e-08
Jan 26 2018,2458144,71.67,8.74e-08,2.01e-08
Feb 02 2018,2458151,66.75,1.04e-07,2.75e-08
Feb 09 2018,2458158,47.42,9.61e-08,3.13e-08
Feb 16 2018,2458165,60.85,1.67e-07,4.5e-08
Feb 23 2018,2458172,65.93,1.55e-07,3.6e-08
Mar 02 2018,2458181,226.38,2.26e-07,3.2e-08
Mar 09 2018,2458188,521.02,3.09e-07,2.9e-08
Mar 16 2018,2458195,319.51,4.9e-07,5.9e-08
Apr 06 2018,2458216,65.7,1.34e-07,3.4e-08
Apr 13 2018,2458223,50.51,7.7e-08,2.03e-08
Apr 20 2018,2458230,55.76,4.79e-08,1.28e-08
Apr 27 2018,2458237,84.25,5.53e-08,1.23e-08
May 11 2018,2458251,20.14,6.91e-08,3.7e-08
May 18 2018,2458258,70.15,7.53e-08,1.55e-08
May 25 2018,2458265,112.16,1.13e-07,2.04e-08
Jun 01 2018,2458272,62.92,8.81e-08,1.99e-08
Jun 08 2018,2458279,37.51,4.66e-08,1.49e-08
Jun 15 2018,2458286,46.73,4.39e-08,1.26e-08
Jun 22 2018,2458293,4.11,5.65e-08,4.04e-08
Jun 29 2018,2458300,130.17,6.67e-08,1.26e-08
Jul 06 2018,2458307,199.9,1.18e-07,1.87e-08
Jul 13 2018,2458314,93.09,8.95e-08,1.86e-08
Jul 20 2018,2458321,163.73,1.87e-07,3.2e-08
Jul 27 2018,2458328,64.51,9.75e-08,2.38e-08
Aug 03 2018,2458334,12.89,8.41e-08,3.53e-08
Aug 17 2018,2458348,48.74,5.09e-08,1.34e-08
Aug 24 2018,2458355,69.03,6.07e-08,1.31e-08
Aug 31 2018,2458362,40.59,7.73e-08,2.28e-08
Sep 07 2018,2458369,51.32,1.01e-07,2.5e-08
Sep 14 2018,2458376,14.81,4.11e-08,2.76e-08
Sep 21 2018,2458383,0.0,2.1e-07,1.05e-07
Oct 05 2018,2458397,35.79,7.06e-08,2.23e-08
Oct 12 2018,2458404,162.6,7.91e-08,1.31e-08
Oct 19 2018,2458411,47.91,5.09e-08,1.29e-08
Oct 26 2018,2458418,24.42,7.8e-08,2.83e-08
Nov 02 2018,2458425,47.09,8.55e-08,2.65e-08
Nov 09 2018,2458432,23.16,5.69e-08,2.19e-08
Nov 16 2018,2458439,52.71,7.74e-08,2.01e-08
Nov 23 2018,2458446,0.0,3.09e-07,1.545e-07
Nov 30 2018,2458453,82.67,8.51e-08,1.76e-08
Dec 07 2018,2458460,9.82,2.67e-08,1.8e-08
Dec 14 2018,2458467,1.55,4.8e-08,2.4e-08
Dec 21 2018,2458474,21.45,3.88e-08,1.53e-08
Dec 28 2018,2458481,6.63,2.29e-08,1.45e-08
Jan 04 2019,2458488,23.22,6.7e-08,2.55e-08
Jan 11 2019,2458495,20.66,4.33e-08,1.75e-08
Jan 18 2019,2458502,59.67,5.49e-08,1.51e-08
Jan 25 2019,2458509,4.1,1.9e-08,1.34e-08
Feb 01 2019,2458515,27.25,2.88e-08,1.25e-08
Feb 08 2019,2458522,1.78,3.85e-08,1.925e-08
Feb 15 2019,2458529,0.4,3.43e-08,1.715e-08
Feb 22 2019,2458536,4.88,2.8e-08,1.85e-08
