Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J2057.4-0723,41.12548,-31.313927,2.025329e-10,3.624202e-11,2.7720644,0.09884486,bcu,1.875,LSP,2754228800000.0,3.170458e-13
4FGL J2058.8-1442,33.405766,-34.756004,1.4635675e-10,3.5780916e-11,1.9969767,0.18979596,bcu,0.07775,,0.0,0.0
4FGL J2100.0+2103,67.58681,-16.14023,2.1852169e-10,4.4267808e-11,2.4265585,0.13510044,bcu,-inf,LSP,20417380000000.0,4.0171032e-13
4FGL J2101.3+0912,57.695045,-23.515368,1.8898418e-10,3.9224415e-11,2.0617325,0.1594847,bcu,-inf,,0.0,0.0
4FGL J2101.4-2935,15.773341,-39.871773,2.0190041e-10,3.7417815e-11,2.8067174,0.096894115,fsrq,1.492,,0.0,0.0
4FGL J2103.0+0342,52.925144,-26.932774,2.3632193e-10,4.19584e-11,2.473265,0.121637516,bcu,-inf,LSP,17458221000000.0,1.2520654e-13
4FGL J2103.2-2114,26.27754,-38.059246,1.6690253e-10,3.3661934e-11,2.2034974,0.153183,bcu,-inf,,0.0,0.0
4FGL J2103.4-7816,314.6566,-33.023067,2.2154402e-10,4.4171874e-11,2.367834,0.15235046,bcu,-inf,LSP,3890451600000.0,7.7746707e-13
4FGL J2103.7-1112,37.87332,-34.409,1.0960185e-09,7.36404e-11,2.136142,0.045994174,bcu,-inf,,0.0,0.0
4FGL J2103.8-6233,332.69885,-38.9497,1.7477411e-09,6.967322e-11,2.005434,0.026494535,bll,-inf,ISP,851138000000000.0,3.2648784e-12
4FGL J2104.0-3546,7.855509,-41.4074,4.87043e-10,4.696291e-11,2.3678787,0.066166066,bcu,-inf,LSP,69984198000000.0,1.2588791e-12
4FGL J2104.3-0212,47.375843,-30.317177,1.8525623e-10,3.655505e-11,1.6621983,0.11193918,bll,-inf,HSP,3548134000000000.0,1.6486255e-12
4FGL J2104.7+0108,50.725914,-28.664259,1.5305016e-10,3.748225e-11,2.111361,0.1544158,bcu,-inf,ISP,199526230000000.0,8.2255134e-13
4FGL J2105.2-5143,346.51154,-41.445946,1.3780967e-10,3.0038694e-11,2.4116209,0.16303442,bcu,-inf,,0.0,0.0
4FGL J2106.9+2455,71.751,-14.9333725,1.1853193e-10,3.8205175e-11,2.6201413,0.15807226,bcu,-inf,LSP,10964782000000.0,7.851778e-13
4FGL J2107.6-4148,359.79587,-42.485485,2.1232753e-10,3.6083744e-11,2.4287343,0.116439454,bcu,-inf,,0.0,0.0
4FGL J2108.2-2454,22.18626,-40.2245,3.3499706e-10,4.147809e-11,2.5824819,0.07729011,bcu,-inf,,0.0,0.0
4FGL J2108.3-4824,350.8637,-42.32651,1.047337e-10,3.2449307e-11,2.7905505,0.18857251,bcu,-inf,LSP,69183100000000.0,4.1703164e-13
4FGL J2108.5+1434,63.520157,-21.742493,3.0729147e-10,4.3076015e-11,2.765415,0.076404825,fsrq,2.017,LSP,6760829600000.0,2.7094678e-13
4FGL J2108.7-0250,47.384087,-31.586992,3.4513617e-10,4.2018517e-11,2.043974,0.096884884,bll,0.149,HSP,8317638000000000.0,1.0518553e-12
4FGL J2108.9-6638,327.52386,-38.162235,7.226615e-10,4.5216726e-11,2.1165648,0.04848129,bll,-inf,ISP,109647820000000.0,1.5967025e-12
