"Date(UTC)","Julian Date","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)"
"Sep 05 2014",2456906,39.87,2.27e-7,6.30e-8
"Sep 12 2014",2456913,57.1,2.26e-7,4.90e-8
"Sep 19 2014",2456920,19.24,1.24e-7,4.58e-8
"Sep 26 2014",2456927,34.18,1.87e-7,5.20e-8
"Oct 03 2014",2456934,5.28,8.16e-8,5.08e-8
"Oct 10 2014",2456941,22.53,9.63e-8,3.78e-8
"Oct 17 2014",2456948,43.65,1.21e-7,2.87e-8
"Oct 24 2014",2456955,24.49,1.37e-7,4.24e-8
"Oct 31 2014",2456962,11.37,8.03e-8,3.88e-8
"Nov 07 2014",2456969,23.08,1.39e-7,4.19e-8
"Nov 14 2014",2456976,14.68,1.00e-7,4.22e-8
"Nov 21 2014",2456983,0,1.15e-7,1e-7
"Nov 28 2014",2456990,32.83,2.50e-7,6.90e-8
"Dec 05 2014",2456997,27.12,1.11e-7,3.48e-8
"Dec 12 2014",2457004,55.98,1.48e-7,3.20e-8
"Dec 19 2014",2457011,60.22,1.69e-7,3.50e-8
"Dec 26 2014",2457018,49.44,1.47e-7,3.40e-8
"Jan 02 2015",2457025,118.65,2.16e-7,3.50e-8
"Jan 09 2015",2457032,142.6,2.71e-7,3.90e-8
"Jan 16 2015",2457039,154.84,3.33e-7,4.90e-8
"Jan 23 2015",2457046,174.61,3.41e-7,4.60e-8
"Jan 30 2015",2457053,134.99,3.39e-7,4.60e-8
"Feb 06 2015",2457059,368.14,5.58e-7,5.30e-8
"Feb 13 2015",2457066,424.15,6.37e-7,5.70e-8
"Feb 20 2015",2457073,382.12,5.57e-7,5.10e-8
"Feb 27 2015",2457080,461.44,6.20e-7,5.50e-8
"Mar 06 2015",2457090,219.37,4.04e-7,4.90e-8
"Mar 13 2015",2457097,260.27,4.65e-7,5.10e-8
"Mar 20 2015",2457104,205.29,9.10e-7,1.14e-7
"Mar 27 2015",2457111,120.45,7.05e-7,1.24e-7
"Apr 03 2015",2457117,255.02,9.11e-7,1.01e-7
"Apr 10 2015",2457124,369.31,5.92e-7,5.70e-8
"Apr 17 2015",2457131,183.2,3.70e-7,4.40e-8
"Apr 24 2015",2457138,145.54,3.29e-7,4.30e-8
"May 01 2015",2457145,335.27,5.36e-7,5.20e-8
"May 08 2015",2457152,178.54,3.59e-7,4.60e-8
"May 15 2015",2457159,219.18,3.53e-7,4.20e-8
"May 22 2015",2457166,134.26,2.54e-7,3.90e-8
"May 29 2015",2457173,179.73,3.93e-7,5.00e-8
"Jun 05 2015",2457180,223.46,3.91e-7,4.30e-8
"Jun 12 2015",2457187,464.86,5.82e-7,5.00e-8
"Jun 19 2015",2457194,547.88,7.91e-7,6.70e-8
"Jun 26 2015",2457201,481.21,6.36e-7,5.70e-8
"Jul 03 2015",2457208,103.01,2.45e-7,4.00e-8
"Jul 10 2015",2457215,120.64,2.62e-7,4.10e-8
"Jul 17 2015",2457222,372.33,5.37e-7,5.00e-8
"Jul 24 2015",2457229,255.02,4.55e-7,5.20e-8
"Jul 31 2015",2457236,225.47,3.51e-7,4.40e-8
"Aug 07 2015",2457243,326.42,5.07e-7,5.00e-8
"Aug 14 2015",2457250,347.83,5.53e-7,5.30e-8
"Aug 21 2015",2457257,182.01,3.89e-7,5.00e-8
"Aug 28 2015",2457264,42.96,1.33e-7,3.20e-8
"Sep 04 2015",2457270,132.16,2.62e-7,3.90e-8
"Sep 11 2015",2457277,164.37,3.20e-7,4.40e-8
"Sep 18 2015",2457284,372.18,5.16e-7,4.90e-8
"Sep 25 2015",2457291,103.17,2.25e-7,3.70e-8
"Oct 02 2015",2457299,147.95,3.26e-7,4.60e-8
"Oct 09 2015",2457306,351.15,5.75e-7,5.40e-8
"Oct 16 2015",2457313,514.23,7.43e-7,6.00e-8
"Oct 23 2015",2457320,308.24,4.55e-7,4.80e-8
"Oct 30 2015",2457327,400.04,5.16e-7,4.80e-8
"Nov 06 2015",2457333,173.87,3.50e-7,4.50e-8
"Nov 13 2015",2457340,138.52,2.45e-7,3.70e-8
"Nov 20 2015",2457347,168.47,3.47e-7,4.40e-8
"Nov 27 2015",2457354,67.49,2.02e-7,4.10e-8
"Dec 04 2015",2457362,198.94,3.85e-7,4.70e-8
"Dec 11 2015",2457369,221.12,4.38e-7,5.10e-8
"Dec 18 2015",2457376,449.06,5.29e-7,4.80e-8
"Dec 25 2015",2457383,577.79,6.67e-7,5.50e-8
"Jan 01 2016",2457389,331.21,4.71e-7,4.70e-8
"Jan 08 2016",2457396,236.26,4.10e-7,4.80e-8
"Jan 15 2016",2457403,209.93,4.20e-7,5.10e-8
"Jan 22 2016",2457410,240.47,4.62e-7,5.30e-8
"Jan 29 2016",2457417,373.23,5.26e-7,5.10e-8
"Feb 05 2016",2457423,329.28,4.60e-7,4.90e-8
"Feb 12 2016",2457430,253.86,4.14e-7,4.80e-8
"Feb 19 2016",2457437,238.08,4.03e-7,4.80e-8
"Feb 26 2016",2457444,366.08,4.78e-7,4.60e-8
"Mar 04 2016",2457453,293.22,4.34e-7,4.60e-8
"Mar 11 2016",2457460,280.55,5.12e-7,5.30e-8
"Mar 18 2016",2457467,372.76,5.42e-7,5.30e-8
"Mar 25 2016",2457474,364.92,4.65e-7,4.60e-8
"Apr 01 2016",2457480,295.17,4.17e-7,4.50e-8
"Apr 08 2016",2457487,288.13,4.26e-7,4.70e-8
"Apr 15 2016",2457494,374.73,4.86e-7,4.80e-8
"Apr 22 2016",2457501,134.93,2.78e-7,4.00e-8
"Apr 29 2016",2457508,471.78,4.36e-7,3.70e-8
"May 06 2016",2457516,506.33,6.27e-7,4.90e-8
"May 13 2016",2457523,558.37,5.32e-7,4.30e-8
"May 20 2016",2457530,489.6,6.43e-7,5.40e-8
"May 27 2016",2457537,778.85,7.93e-7,5.80e-8
"Jun 03 2016",2457543,345.11,5.40e-7,5.50e-8
"Jun 10 2016",2457550,414.01,5.49e-7,5.00e-8
"Jun 17 2016",2457557,430.18,6.69e-7,6.50e-8
"Jun 24 2016",2457564,190.41,3.38e-7,4.20e-8
"Jul 01 2016",2457572,200.58,3.36e-7,4.30e-8
"Jul 08 2016",2457579,270.3,4.11e-7,4.60e-8
"Jul 15 2016",2457586,206.77,3.52e-7,4.30e-8
"Jul 22 2016",2457593,45.63,2.93e-7,7.50e-8
"Jul 29 2016",2457600,87.83,2.30e-7,4.00e-8
"Aug 05 2016",2457606,0,6.84e-7,6e-7
"Aug 12 2016",2457613,96.78,2.24e-7,3.80e-8
"Aug 19 2016",2457620,78.25,1.75e-7,3.60e-8
"Aug 26 2016",2457627,58.34,1.96e-7,4.00e-8
"Sep 02 2016",2457633,42.48,1.42e-7,3.30e-8
"Sep 09 2016",2457640,70.41,1.75e-7,3.50e-8
"Sep 16 2016",2457647,203.53,3.48e-7,4.40e-8
"Sep 23 2016",2457654,742.88,7.65e-7,5.50e-8
"Sep 30 2016",2457661,249.36,4.17e-7,4.90e-8
"Oct 07 2016",2457669,1017.34,1.13e-6,7.00e-8
"Oct 14 2016",2457676,210.12,3.92e-7,5.20e-8
"Oct 21 2016",2457683,249.75,4.08e-7,4.70e-8
"Oct 28 2016",2457690,267.84,4.03e-7,4.30e-8
"Nov 04 2016",2457696,24.83,1.60e-7,4.90e-8
"Nov 11 2016",2457703,104.26,3.53e-7,6.30e-8
"Nov 18 2016",2457710,587.97,6.82e-7,5.50e-8
"Nov 25 2016",2457717,176.42,3.36e-7,4.30e-8
